"A,1 Log Mag"
"Frequency (Hz)","dB",
21894000000, -1.038539e+002,
21894125000, -1.036407e+002,
21894250000, -1.041005e+002,
21894375000, -1.031000e+002,
21894500000, -1.019459e+002,
21894625000, -1.046341e+002,
21894750000, -1.029554e+002,
21894875000, -1.024241e+002,
21895000000, -1.034900e+002,
21895125000, -1.009323e+002,
21895250000, -1.022301e+002,
21895375000, -1.033123e+002,
21895500000, -1.035492e+002,
21895625000, -1.033416e+002,
21895750000, -1.032362e+002,
21895875000, -1.035790e+002,
21896000000, -1.030651e+002,
21896125000, -1.038839e+002,
21896250000, -1.027587e+002,
21896375000, -1.022620e+002,
21896500000, -1.009996e+002,
21896625000, -1.013671e+002,
21896750000, -1.026704e+002,
21896875000, -1.032860e+002,
21897000000, -1.030033e+002,
21897125000, -1.021677e+002,
21897250000, -1.035059e+002,
21897375000, -1.037264e+002,
21897500000, -1.039266e+002,
21897625000, -1.045962e+002,
21897750000, -1.027309e+002,
21897875000, -1.024477e+002,
21898000000, -1.025273e+002,
21898125000, -1.031385e+002,
21898250000, -1.032350e+002,
21898375000, -1.029866e+002,
21898500000, -1.029895e+002,
21898625000, -1.021563e+002,
21898750000, -1.035888e+002,
21898875000, -1.033036e+002,
21899000000, -1.018616e+002,
21899125000, -1.031507e+002,
21899250000, -1.020354e+002,
21899375000, -1.020503e+002,
21899500000, -1.020884e+002,
21899625000, -1.029694e+002,
21899750000, -1.022755e+002,
21899875000, -1.045446e+002,
21900000000, -1.024696e+002,
21900125000, -1.036682e+002,
21900250000, -1.032160e+002,
21900375000, -1.036527e+002,
21900500000, -1.029600e+002,
21900625000, -1.022806e+002,
21900750000, -1.017503e+002,
21900875000, -1.017764e+002,
21901000000, -1.033495e+002,
21901125000, -1.029592e+002,
21901250000, -1.037704e+002,
21901375000, -1.035919e+002,
21901500000, -1.031454e+002,
21901625000, -1.038464e+002,
21901750000, -1.032554e+002,
21901875000, -1.043959e+002,
21902000000, -1.024979e+002,
21902125000, -1.032019e+002,
21902250000, -1.029555e+002,
21902375000, -1.029328e+002,
21902500000, -1.035625e+002,
21902625000, -1.027691e+002,
21902750000, -1.021476e+002,
21902875000, -1.026415e+002,
21903000000, -1.036817e+002,
21903125000, -1.024777e+002,
21903250000, -1.024107e+002,
21903375000, -1.016642e+002,
21903500000, -1.025596e+002,
21903625000, -1.025127e+002,
21903750000, -1.031999e+002,
21903875000, -1.030503e+002,
21904000000, -1.017891e+002,
21904125000, -1.039019e+002,
21904250000, -1.032231e+002,
21904375000, -1.032469e+002,
21904500000, -1.027231e+002,
21904625000, -1.020682e+002,
21904750000, -1.025193e+002,
21904875000, -1.022850e+002,
21905000000, -1.018815e+002,
21905125000, -1.022315e+002,
21905250000, -1.030215e+002,
21905375000, -1.027574e+002,
21905500000, -1.041326e+002,
21905625000, -1.020813e+002,
21905750000, -1.030252e+002,
21905875000, -1.036599e+002,
21906000000, -1.017452e+002,
21906125000, -1.023212e+002,
21906250000, -1.039429e+002,
21906375000, -1.025149e+002,
21906500000, -1.032160e+002,
21906625000, -1.028970e+002,
21906750000, -1.032950e+002,
21906875000, -1.037084e+002,
21907000000, -1.022584e+002,
21907125000, -1.033280e+002,
21907250000, -1.024200e+002,
21907375000, -1.026316e+002,
21907500000, -1.038483e+002,
21907625000, -1.026979e+002,
21907750000, -1.030885e+002,
21907875000, -1.027477e+002,
21908000000, -1.027781e+002,
21908125000, -1.023047e+002,
21908250000, -1.028879e+002,
21908375000, -1.029031e+002,
21908500000, -1.031166e+002,
21908625000, -1.034475e+002,
21908750000, -1.025510e+002,
21908875000, -1.037233e+002,
21909000000, -1.033039e+002,
21909125000, -1.035690e+002,
21909250000, -1.038064e+002,
21909375000, -1.035682e+002,
21909500000, -1.019054e+002,
21909625000, -1.035232e+002,
21909750000, -1.033111e+002,
21909875000, -1.019384e+002,
21910000000, -1.023573e+002,
21910125000, -1.031994e+002,
21910250000, -1.020153e+002,
21910375000, -1.039191e+002,
21910500000, -1.032003e+002,
21910625000, -1.024010e+002,
21910750000, -1.023721e+002,
21910875000, -1.023142e+002,
21911000000, -1.028843e+002,
21911125000, -1.022642e+002,
21911250000, -1.028362e+002,
21911375000, -1.013015e+002,
21911500000, -1.014840e+002,
21911625000, -1.023417e+002,
21911750000, -1.018874e+002,
21911875000, -1.026443e+002,
21912000000, -1.026558e+002,
21912125000, -1.021588e+002,
21912250000, -1.025738e+002,
21912375000, -1.031035e+002,
21912500000, -1.024908e+002,
21912625000, -1.035504e+002,
21912750000, -1.043079e+002,
21912875000, -1.027499e+002,
21913000000, -1.015454e+002,
21913125000, -1.023015e+002,
21913250000, -1.024565e+002,
21913375000, -1.023145e+002,
21913500000, -1.036138e+002,
21913625000, -1.018581e+002,
21913750000, -1.031910e+002,
21913875000, -1.040617e+002,
21914000000, -9.793642e+001,
21914125000, -1.039492e+002,
21914250000, -1.047909e+002,
21914375000, -1.028298e+002,
21914500000, -1.025624e+002,
21914625000, -1.027336e+002,
21914750000, -1.035214e+002,
21914875000, -1.034160e+002,
21915000000, -1.047394e+002,
21915125000, -1.028441e+002,
21915250000, -1.019016e+002,
21915375000, -1.025253e+002,
